Name,PartNumber,DO,DI,AO,AI,UI,UO,UIO,Cost
DO8,SXWDOC8XX10001,8,0,0,0,0,0,0,308.26
DO12,SXWDOA12X10001,12,0,0,0,0,0,0,349.66
DI16,SXWDI16XX10001,0,16,0,0,0,0,0,238.42
AO8,SXWAO8XXX10001,0,0,8,0,0,0,0,365.63
UI8 & DO4,SXWUI8D4X10001,4,0,0,0,8,0,0,444.95
UI16,SXWUI16XX10001,0,0,0,0,16,0,0,508.47
UI8&AO4,SXWUI8A4X10001,0,0,4,0,8,0,0,556.24
